rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
3759	PPEF1	protein phosphatase, EF-hand calcium binding domain 1	570703	1	1	1	0	0	0	0	1	0	0	0.287	0.860	NaN	NaN	NaN	0.287	1.000
3760	DCTN4	dynactin 4 (p62)	405769	1	1	1	0	0	0	0	0	1	0	0.287	0.839	NaN	NaN	NaN	0.287	1.000
3761	WIPI1	WD repeat domain, phosphoinositide interacting 1	370441	2	2	2	0	1	1	0	0	0	0	0.0818	0.412	0.995	0.421	1.000	0.287	1.000
3762	MUM1	melanoma associated antigen (mutated) 1	443111	1	1	1	0	0	1	0	0	0	0	0.287	0.640	NaN	NaN	NaN	0.287	1.000
3763	ACER2	alkaline ceramidase 2	217996	1	1	1	0	1	0	0	0	0	0	0.287	0.664	NaN	NaN	NaN	0.287	1.000
3764	EYA1	eyes absent homolog 1 (Drosophila)	524099	1	1	1	0	0	0	0	1	0	0	0.287	0.831	NaN	NaN	NaN	0.287	1.000
3765	DIRC2	disrupted in renal carcinoma 2	368063	1	1	1	0	0	1	0	0	0	0	0.287	0.705	NaN	NaN	NaN	0.287	1.000
3766	GPR68	G protein-coupled receptor 68	188643	1	1	1	0	1	0	0	0	0	0	0.287	0.614	NaN	NaN	NaN	0.287	1.000
3767	FEZ1	fasciculation and elongation protein zeta 1 (zygin I)	344894	1	1	1	0	0	0	0	1	0	0	0.288	0.862	NaN	NaN	NaN	0.288	1.000
3768	PGM1	phosphoglucomutase 1	566318	1	1	1	0	0	1	0	0	0	0	0.288	0.620	NaN	NaN	NaN	0.288	1.000
3769	COPS3	COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis)	369103	1	1	1	0	0	0	0	1	0	0	0.288	0.859	NaN	NaN	NaN	0.288	1.000
3770	SLC38A6	solute carrier family 38, member 6	394869	1	1	1	0	0	0	0	0	1	0	0.288	1.000	NaN	NaN	NaN	0.288	1.000
3771	MAGEA8	melanoma antigen family A, 8	268475	1	1	1	1	1	0	0	0	0	0	0.288	0.902	NaN	NaN	NaN	0.288	1.000
3772	TFAP2B	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	361928	1	1	1	1	0	1	0	0	0	0	0.288	0.926	NaN	NaN	NaN	0.288	1.000
3773	OR1A1	olfactory receptor, family 1, subfamily A, member 1	263756	1	1	1	0	1	0	0	0	0	0	0.288	0.735	NaN	NaN	NaN	0.288	1.000
3774	ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5	1410146	3	3	3	0	1	0	0	2	0	0	0.105	0.563	0.626	0.775	0.783	0.288	1.000
3775	PPM1D	protein phosphatase 1D magnesium-dependent, delta isoform	444674	1	1	1	3	0	0	0	0	1	0	0.289	0.998	NaN	NaN	NaN	0.289	1.000
3776	HSD17B4	hydroxysteroid (17-beta) dehydrogenase 4	649803	1	1	1	0	0	0	0	0	1	0	0.289	0.826	NaN	NaN	NaN	0.289	1.000
3777	RPP30	ribonuclease P/MRP 30kDa subunit	261554	1	1	1	0	1	0	0	0	0	0	0.289	0.695	NaN	NaN	NaN	0.289	1.000
3778	OSBPL10	oxysterol binding protein-like 10	593667	1	1	1	0	0	0	1	0	0	0	0.289	0.730	NaN	NaN	NaN	0.289	1.000
3779	DMGDH	dimethylglycine dehydrogenase	724113	2	2	2	0	1	0	0	1	0	0	0.202	0.606	0.579	0.0322	0.411	0.289	1.000
3780	KCNJ15	potassium inwardly-rectifying channel, subfamily J, member 15	320356	1	1	1	0	1	0	0	0	0	0	0.289	0.630	NaN	NaN	NaN	0.289	1.000
3781	ZNF333	zinc finger protein 333	577542	1	1	1	0	0	0	1	0	0	0	0.289	0.686	NaN	NaN	NaN	0.289	1.000
3782	HM13	histocompatibility (minor) 13	345991	1	1	1	0	0	0	0	1	0	0	0.289	0.826	NaN	NaN	NaN	0.289	1.000
3783	STS	steroid sulfatase (microsomal), isozyme S	498510	2	2	2	0	1	1	0	0	0	0	0.126	0.386	0.307	0.695	0.658	0.289	1.000
3784	SLC38A5	solute carrier family 38, member 5	332724	1	1	1	1	0	0	0	1	0	0	0.289	0.918	NaN	NaN	NaN	0.289	1.000
3785	OR51V1	olfactory receptor, family 51, subfamily V, member 1	274200	1	1	1	0	0	0	0	1	0	0	0.289	0.824	NaN	NaN	NaN	0.289	1.000
3786	TGS1	trimethylguanosine synthase homolog (S. cerevisiae)	730351	1	1	1	0	0	0	1	0	0	0	0.290	0.635	NaN	NaN	NaN	0.290	1.000
3787	AS3MT	arsenic (+3 oxidation state) methyltransferase	325454	1	1	1	0	1	0	0	0	0	0	0.290	0.672	NaN	NaN	NaN	0.290	1.000
3788	COG6	component of oligomeric golgi complex 6	552385	2	2	2	0	1	0	0	1	0	0	0.149	0.612	0.391	0.432	0.558	0.290	1.000
3789	ZNF350	zinc finger protein 350	457035	1	1	1	0	0	0	1	0	0	0	0.290	0.663	NaN	NaN	NaN	0.290	1.000
3790	KIAA2026	KIAA2026	1684552	3	3	3	0	1	0	0	1	1	0	0.429	0.526	0.265	0.203	0.194	0.290	1.000
3791	USP20	ubiquitin specific peptidase 20	755728	2	2	2	0	0	1	0	0	1	0	0.285	0.551	0.884	0.106	0.292	0.290	1.000
3792	UBXN2B	UBX domain protein 2B	265502	1	1	1	0	0	0	0	1	0	0	0.291	0.844	NaN	NaN	NaN	0.291	1.000
3793	GOT2	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)	373396	1	1	1	0	0	1	0	0	0	0	0.291	0.626	NaN	NaN	NaN	0.291	1.000
3794	LEO1	Leo1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)	579508	1	1	1	0	0	0	1	0	0	0	0.291	0.607	NaN	NaN	NaN	0.291	1.000
3795	PIPOX	pipecolic acid oxidase	341008	1	1	1	0	0	0	0	1	0	0	0.291	0.832	NaN	NaN	NaN	0.291	1.000
3796	NRXN1	neurexin 1	1274575	4	4	4	1	0	2	0	2	0	0	0.135	0.554	0.515	0.433	0.620	0.291	1.000
3797	PCDHGA6	protocadherin gamma subfamily A, 6	802158	2	2	2	0	1	0	0	0	1	0	0.383	0.363	0.547	0.142	0.218	0.291	1.000
3798	DNAH2	dynein, axonemal, heavy chain 2	3839352	13	13	13	2	9	1	0	1	2	0	0.0837	0.191	0.758	0.819	1.000	0.291	1.000
3799	TMOD1	tropomodulin 1	314378	1	1	1	0	1	0	0	0	0	0	0.291	0.674	NaN	NaN	NaN	0.291	1.000
3800	RALGAPA2	Ral GTPase activating protein, alpha subunit 2 (catalytic)	1455396	4	4	4	0	0	2	0	2	0	0	0.126	0.301	0.482	0.719	0.663	0.292	1.000
3801	TAAR1	trace amine associated receptor 1	288189	1	1	1	1	0	0	0	1	0	0	0.292	0.979	NaN	NaN	NaN	0.292	1.000
3802	ITCH	itchy E3 ubiquitin protein ligase homolog (mouse)	758532	1	1	1	0	0	0	1	0	0	0	0.292	0.624	NaN	NaN	NaN	0.292	1.000
3803	TMEM61	transmembrane protein 61	179131	1	1	1	0	1	0	0	0	0	0	0.292	0.574	NaN	NaN	NaN	0.292	1.000
3804	HAO2	hydroxyacid oxidase 2 (long chain)	306288	1	1	1	0	0	0	0	1	0	0	0.292	0.824	NaN	NaN	NaN	0.292	1.000
3805	LIN9	lin-9 homolog (C. elegans)	491299	1	1	1	1	0	0	0	0	1	0	0.292	0.903	NaN	NaN	NaN	0.292	1.000
3806	COBLL1	COBL-like 1	992758	3	3	3	0	1	0	1	1	0	0	0.0838	0.347	0.458	0.403	1.000	0.292	1.000
3807	DBF4B	DBF4 homolog B (S. cerevisiae)	545056	1	1	1	0	0	1	0	0	0	0	0.292	0.659	NaN	NaN	NaN	0.292	1.000
3808	PES1	pescadillo homolog 1, containing BRCT domain (zebrafish)	503197	1	1	1	0	0	0	1	0	0	0	0.292	0.808	NaN	NaN	NaN	0.292	1.000
3809	RHBDD1	rhomboid domain containing 1	274797	1	1	1	0	0	0	1	0	0	0	0.292	0.644	NaN	NaN	NaN	0.292	1.000
3810	DERL2	Der1-like domain family, member 2	211325	1	1	1	0	0	0	0	1	0	0	0.292	0.841	NaN	NaN	NaN	0.292	1.000
3811	WDR92	WD repeat domain 92	312973	1	1	1	0	0	0	0	1	0	0	0.292	0.841	NaN	NaN	NaN	0.292	1.000
3812	C17orf47	chromosome 17 open reading frame 47	487043	2	2	2	0	0	0	0	2	0	0	0.122	0.659	0.301	0.590	0.691	0.292	1.000
3813	LHX1	LIM homeobox 1	283787	1	1	1	0	0	0	0	1	0	0	0.292	0.837	NaN	NaN	NaN	0.292	1.000
3814	CCDC157	coiled-coil domain containing 157	525520	1	1	1	0	0	1	0	0	0	0	0.292	0.539	NaN	NaN	NaN	0.292	1.000
3815	AQP2	aquaporin 2 (collecting duct)	218330	1	1	1	0	1	0	0	0	0	0	0.292	0.620	NaN	NaN	NaN	0.292	1.000
3816	HLX	H2.0-like homeobox	390228	1	1	1	0	0	0	1	0	0	0	0.292	0.740	NaN	NaN	NaN	0.292	1.000
3817	IRS4	insulin receptor substrate 4	1060011	2	2	2	0	0	0	0	1	1	0	0.397	0.645	0.304	0.157	0.212	0.293	1.000
3818	EXTL1	exostoses (multiple)-like 1	519430	1	1	1	0	0	1	0	0	0	0	0.293	0.586	NaN	NaN	NaN	0.293	1.000
3819	GABRA3	gamma-aminobutyric acid (GABA) A receptor, alpha 3	428449	2	2	2	0	0	0	1	1	0	0	0.0842	0.594	0.990	0.928	1.000	0.293	1.000
3820	ZFAT	zinc finger and AT hook domain containing	968844	3	3	3	1	0	1	0	1	1	0	0.104	0.710	0.855	0.590	0.810	0.293	1.000
3821	ACSM3	acyl-CoA synthetase medium-chain family member 3	537333	1	1	1	0	0	0	0	1	0	0	0.293	0.839	NaN	NaN	NaN	0.293	1.000
3822	TRPS1	trichorhinophalangeal syndrome I	1105825	5	4	5	0	1	1	0	2	1	0	0.0843	0.301	0.930	0.596	1.000	0.293	1.000
3823	SCARF2	scavenger receptor class F, member 2	309780	1	1	1	0	0	0	0	0	1	0	0.293	0.806	NaN	NaN	NaN	0.293	1.000
3824	NLGN1	neuroligin 1	702872	2	2	2	0	0	0	0	1	1	0	0.0844	0.590	0.870	0.968	1.000	0.293	1.000
3825	ALDH1A2	aldehyde dehydrogenase 1 family, member A2	454518	2	2	2	1	1	1	0	0	0	0	0.0844	0.721	0.431	0.988	1.000	0.293	1.000
3826	ADCY1	adenylate cyclase 1 (brain)	902815	3	3	3	0	2	1	0	0	0	0	0.253	0.218	0.311	0.375	0.334	0.293	1.000
3827	SOX5	SRY (sex determining region Y)-box 5	668355	1	1	1	0	0	0	1	0	0	0	0.293	0.664	NaN	NaN	NaN	0.293	1.000
3828	FLRT2	fibronectin leucine rich transmembrane protein 2	562321	1	1	1	0	0	0	1	0	0	0	0.293	0.731	NaN	NaN	NaN	0.293	1.000
3829	KBTBD6	kelch repeat and BTB (POZ) domain containing 6	574186	1	1	1	1	0	0	1	0	0	0	0.293	0.879	NaN	NaN	NaN	0.293	1.000
3830	HSPA12A	heat shock 70kDa protein 12A	555513	3	3	3	0	2	1	0	0	0	0	0.0847	0.223	0.893	0.877	1.000	0.294	1.000
3831	CREB3L4	cAMP responsive element binding protein 3-like 4	344882	1	1	1	0	1	0	0	0	0	0	0.294	0.715	NaN	NaN	NaN	0.294	1.000
3832	SLC22A5	solute carrier family 22 (organic cation/carnitine transporter), member 5	456156	2	2	2	1	0	0	0	1	1	0	0.119	0.853	0.222	0.665	0.712	0.294	1.000
3833	LPP	LIM domain containing preferred translocation partner in lipoma	530605	1	1	1	0	0	0	0	0	1	0	0.294	0.683	NaN	NaN	NaN	0.294	1.000
3834	MAGEB2	melanoma antigen family B, 2	232715	1	1	1	0	0	0	0	1	0	0	0.294	0.837	NaN	NaN	NaN	0.294	1.000
3835	ZGPAT	zinc finger, CCCH-type with G patch domain	450788	1	1	1	1	0	0	0	0	1	0	0.294	0.934	NaN	NaN	NaN	0.294	1.000
3836	SLC30A4	solute carrier family 30 (zinc transporter), member 4	372577	1	1	1	0	1	0	0	0	0	0	0.294	0.629	NaN	NaN	NaN	0.294	1.000
3837	SOX10	SRY (sex determining region Y)-box 10	327867	1	1	1	0	0	0	0	0	1	0	0.294	0.813	NaN	NaN	NaN	0.294	1.000
3838	PRB1	proline-rich protein BstNI subfamily 1	283201	1	1	1	0	0	0	0	1	0	0	0.294	0.776	NaN	NaN	NaN	0.294	1.000
3839	FBLIM1	filamin binding LIM protein 1	345362	1	1	1	1	0	1	0	0	0	0	0.294	0.873	NaN	NaN	NaN	0.294	1.000
3840	HOXB3	homeobox B3	360938	1	1	1	0	0	1	0	0	0	0	0.294	0.609	NaN	NaN	NaN	0.294	1.000
3841	AQP9	aquaporin 9	257721	1	1	1	0	0	1	0	0	0	0	0.294	0.678	NaN	NaN	NaN	0.294	1.000
3842	NPSR1	neuropeptide S receptor 1	354838	1	1	1	0	0	0	0	1	0	0	0.294	0.831	NaN	NaN	NaN	0.294	1.000
3843	KLF3	Kruppel-like factor 3 (basic)	299414	1	1	1	0	0	0	0	0	1	0	0.294	0.825	NaN	NaN	NaN	0.294	1.000
3844	KANK4	KN motif and ankyrin repeat domains 4	855517	2	2	2	0	2	0	0	0	0	0	0.381	0.355	0.917	0.0312	0.223	0.294	1.000
3845	POLE2	polymerase (DNA directed), epsilon 2 (p59 subunit)	448325	1	1	1	0	0	1	0	0	0	0	0.295	0.754	NaN	NaN	NaN	0.295	1.000
3846	DCTN2	dynactin 2 (p50)	293326	1	1	1	0	0	1	0	0	0	0	0.295	0.616	NaN	NaN	NaN	0.295	1.000
3847	DDX56	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56	466374	1	1	1	1	0	1	0	0	0	0	0.295	0.921	NaN	NaN	NaN	0.295	1.000
3848	MARVELD2	MARVEL domain containing 2	481323	2	2	2	0	0	2	0	0	0	0	0.0851	0.451	0.364	0.611	1.000	0.295	1.000
3849	CDK19	cyclin-dependent kinase 19	441680	1	1	1	0	0	0	0	0	1	0	0.295	0.672	NaN	NaN	NaN	0.295	1.000
3850	FAM170A	family with sequence similarity 170, member A	284698	1	1	1	0	1	0	0	0	0	0	0.295	0.750	NaN	NaN	NaN	0.295	1.000
3851	PTPRH	protein tyrosine phosphatase, receptor type, H	954280	3	3	3	1	2	1	0	0	0	0	0.157	0.514	0.297	0.807	0.544	0.295	1.000
3852	CILP2	cartilage intermediate layer protein 2	890749	4	4	3	3	4	0	0	0	0	0	1.000	0.837	0.0444	0.506	0.0854	0.296	1.000
3853	ACR	acrosin	256167	1	1	1	0	1	0	0	0	0	0	0.296	0.612	NaN	NaN	NaN	0.296	1.000
3854	EDC3	enhancer of mRNA decapping 3 homolog (S. cerevisiae)	438930	1	1	1	0	0	0	0	1	0	0	0.296	0.834	NaN	NaN	NaN	0.296	1.000
3855	KPNA5	karyopherin alpha 5 (importin alpha 6)	471446	1	1	1	0	0	0	0	1	0	0	0.296	0.853	NaN	NaN	NaN	0.296	1.000
3856	SERPINB13	serpin peptidase inhibitor, clade B (ovalbumin), member 13	340725	1	1	1	1	1	0	0	0	0	0	0.296	0.824	NaN	NaN	NaN	0.296	1.000
3857	PLCG2	phospholipase C, gamma 2 (phosphatidylinositol-specific)	1107882	3	3	3	4	1	0	0	1	1	0	0.690	0.978	0.0592	0.428	0.124	0.296	1.000
3858	PCYT1A	phosphate cytidylyltransferase 1, choline, alpha	319444	2	2	2	1	1	0	0	0	1	0	0.0856	0.850	0.705	0.997	1.000	0.296	1.000
3859	TDRD3	tudor domain containing 3	586709	1	1	1	0	0	0	1	0	0	0	0.296	0.595	NaN	NaN	NaN	0.296	1.000
3860	IL3RA	interleukin 3 receptor, alpha (low affinity)	333531	2	2	2	1	1	0	0	0	1	0	0.0857	0.851	0.835	0.353	1.000	0.296	1.000
3861	CABIN1	calcineurin binding protein 1	1838083	5	5	5	1	3	0	2	0	0	0	0.145	0.420	0.708	0.274	0.593	0.296	1.000
3862	PROZ	protein Z, vitamin K-dependent plasma glycoprotein	310980	1	1	1	0	1	0	0	0	0	0	0.296	0.622	NaN	NaN	NaN	0.296	1.000
3863	ILDR1	immunoglobulin-like domain containing receptor 1	430903	1	1	1	0	0	0	0	1	0	0	0.296	0.827	NaN	NaN	NaN	0.296	1.000
3864	SLC44A3	solute carrier family 44, member 3	530760	1	1	1	0	1	0	0	0	0	0	0.297	0.600	NaN	NaN	NaN	0.297	1.000
3865	ATP1A4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	898899	2	2	2	0	1	0	0	1	0	0	0.416	0.545	0.550	0.0741	0.206	0.297	1.000
3866	TIAM2	T-cell lymphoma invasion and metastasis 2	1471852	5	5	5	1	1	1	0	3	0	0	0.109	0.572	0.432	0.564	0.788	0.297	1.000
3867	RTN4RL2	reticulon 4 receptor-like 2	283187	1	1	1	0	0	0	0	1	0	0	0.297	0.787	NaN	NaN	NaN	0.297	1.000
3868	GPR158	G protein-coupled receptor 158	982276	2	1	2	0	0	0	0	2	0	0	0.700	0.687	0.0213	0.263	0.123	0.297	1.000
3869	MAPK3	mitogen-activated protein kinase 3	321295	1	1	1	0	1	0	0	0	0	0	0.297	0.691	NaN	NaN	NaN	0.297	1.000
3870	FCER2	Fc fragment of IgE, low affinity II, receptor for (CD23)	260523	1	1	1	0	1	0	0	0	0	0	0.297	0.657	NaN	NaN	NaN	0.297	1.000
3871	METRNL	meteorin, glial cell differentiation regulator-like	210496	2	1	2	0	0	1	0	1	0	0	0.152	0.439	0.208	0.519	0.568	0.297	1.000
3872	NUBP1	nucleotide binding protein 1 (MinD homolog, E. coli)	271282	1	1	1	0	1	0	0	0	0	0	0.297	0.584	NaN	NaN	NaN	0.297	1.000
3873	TIGD3	tigger transposable element derived 3	401858	1	1	1	0	0	0	0	1	0	0	0.297	0.807	NaN	NaN	NaN	0.297	1.000
3874	PRLHR	prolactin releasing hormone receptor	260456	1	1	1	0	0	1	0	0	0	0	0.298	0.474	NaN	NaN	NaN	0.298	1.000
3875	SULT1C3	sulfotransferase family, cytosolic, 1C, member 3	265868	1	1	1	0	0	0	0	1	0	0	0.298	0.871	NaN	NaN	NaN	0.298	1.000
3876	LHX2	LIM homeobox 2	292821	1	1	1	0	0	1	0	0	0	0	0.298	0.518	NaN	NaN	NaN	0.298	1.000
3877	VPS33A	vacuolar protein sorting 33 homolog A (S. cerevisiae)	521558	1	1	1	0	0	0	0	1	0	0	0.298	0.839	NaN	NaN	NaN	0.298	1.000
3878	ZNF677	zinc finger protein 677	499792	1	1	1	0	0	0	0	1	0	0	0.298	0.885	NaN	NaN	NaN	0.298	1.000
3879	OTUD5	OTU domain containing 5	317671	1	1	1	1	1	0	0	0	0	0	0.298	0.940	NaN	NaN	NaN	0.298	1.000
3880	SP5	Sp5 transcription factor	197138	1	1	1	0	1	0	0	0	0	0	0.298	0.573	NaN	NaN	NaN	0.298	1.000
3881	AURKA	aurora kinase A	352052	1	1	1	0	0	1	0	0	0	0	0.298	0.700	NaN	NaN	NaN	0.298	1.000
3882	SLC9A9	solute carrier family 9 (sodium/hydrogen exchanger), member 9	564976	1	1	1	0	0	0	0	0	1	0	0.298	0.679	NaN	NaN	NaN	0.298	1.000
3883	KCNJ5	potassium inwardly-rectifying channel, subfamily J, member 5	358268	2	2	2	0	1	1	0	0	0	0	0.0865	0.384	0.820	0.677	1.000	0.298	1.000
3884	CPSF3L	cleavage and polyadenylation specific factor 3-like	436411	2	2	2	1	0	1	0	0	1	0	0.0866	0.742	0.887	0.983	1.000	0.299	1.000
3885	RIOK3	RIO kinase 3 (yeast)	455741	1	1	1	0	0	0	0	0	1	0	0.299	0.768	NaN	NaN	NaN	0.299	1.000
3886	GPR128	G protein-coupled receptor 128	695063	1	1	1	1	0	0	1	0	0	0	0.299	0.891	NaN	NaN	NaN	0.299	1.000
3887	IFNGR1	interferon gamma receptor 1	416754	1	1	1	0	0	0	0	1	0	0	0.299	0.842	NaN	NaN	NaN	0.299	1.000
3888	AGTR1	angiotensin II receptor, type 1	306772	1	1	1	0	1	0	0	0	0	0	0.299	0.786	NaN	NaN	NaN	0.299	1.000
3889	NECAP2	NECAP endocytosis associated 2	256182	1	1	1	0	0	1	0	0	0	0	0.299	0.667	NaN	NaN	NaN	0.299	1.000
3890	LCMT1	leucine carboxyl methyltransferase 1	285791	1	1	1	0	1	0	0	0	0	0	0.299	0.685	NaN	NaN	NaN	0.299	1.000
3891	APCDD1L	adenomatosis polyposis coli down-regulated 1-like	306208	1	1	1	0	0	0	0	1	0	0	0.299	0.787	NaN	NaN	NaN	0.299	1.000
3892	OR52L1	olfactory receptor, family 52, subfamily L, member 1	278584	1	1	1	1	0	1	0	0	0	0	0.299	0.882	NaN	NaN	NaN	0.299	1.000
3893	SOHLH1	spermatogenesis and oogenesis specific basic helix-loop-helix 1	265710	1	1	1	1	1	0	0	0	0	0	0.299	0.853	NaN	NaN	NaN	0.299	1.000
3894	SEC14L5	SEC14-like 5 (S. cerevisiae)	481350	2	2	2	1	0	1	0	1	0	0	0.0913	0.765	0.335	0.269	0.953	0.299	1.000
3895	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like	498831	1	1	1	0	0	0	0	0	1	0	0.299	1.000	NaN	NaN	NaN	0.299	1.000
3896	C14orf37	chromosome 14 open reading frame 37	664881	2	2	2	0	0	0	0	1	1	0	0.186	0.826	0.903	0.269	0.469	0.299	1.000
3897	CCR1	chemokine (C-C motif) receptor 1	303310	1	1	1	0	1	0	0	0	0	0	0.299	0.654	NaN	NaN	NaN	0.299	1.000
3898	OPTC	opticin	289320	2	2	2	0	1	0	0	1	0	0	0.0870	0.569	0.835	0.706	1.000	0.299	1.000
3899	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	449120	2	2	2	1	0	1	1	0	0	0	0.0870	0.760	0.376	0.753	1.000	0.299	1.000
3900	AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	556371	1	1	1	0	0	1	0	0	0	0	0.300	0.599	NaN	NaN	NaN	0.300	1.000
3901	C7orf26	chromosome 7 open reading frame 26	362784	1	1	1	0	0	0	0	1	0	0	0.300	0.823	NaN	NaN	NaN	0.300	1.000
3902	PGLYRP2	peptidoglycan recognition protein 2	446320	1	1	1	0	0	1	0	0	0	0	0.300	0.601	NaN	NaN	NaN	0.300	1.000
3903	ATP6V1C2	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2	374941	1	1	1	0	1	0	0	0	0	0	0.300	0.624	NaN	NaN	NaN	0.300	1.000
3904	TRIM65	tripartite motif-containing 65	223140	1	1	1	0	1	0	0	0	0	0	0.300	0.706	NaN	NaN	NaN	0.300	1.000
3905	TRAIP	TRAF interacting protein	416003	1	1	1	0	0	0	0	1	0	0	0.300	0.845	NaN	NaN	NaN	0.300	1.000
3906	MYO7B	myosin VIIB	1483882	4	4	4	0	2	1	0	0	1	0	0.275	0.214	0.189	0.581	0.317	0.300	1.000
3907	ZSCAN5A	zinc finger and SCAN domain containing 5A	426389	1	1	1	0	1	0	0	0	0	0	0.300	0.628	NaN	NaN	NaN	0.300	1.000
3908	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	401766	1	1	1	0	0	0	0	0	1	0	0.300	0.595	NaN	NaN	NaN	0.300	1.000
3909	GOLGA3	golgi autoantigen, golgin subfamily a, 3	1276055	3	3	3	0	1	1	0	1	0	0	0.430	0.289	0.0828	0.704	0.203	0.300	1.000
3910	AADAC	arylacetamide deacetylase (esterase)	344539	1	1	1	1	1	0	0	0	0	0	0.300	0.878	NaN	NaN	NaN	0.300	1.000
3911	BCS1L	BCS1-like (yeast)	364468	1	1	1	0	1	0	0	0	0	0	0.300	0.814	NaN	NaN	NaN	0.300	1.000
3912	CLDN4	claudin 4	179422	1	1	1	0	1	0	0	0	0	0	0.300	0.558	NaN	NaN	NaN	0.300	1.000
3913	IGSF3	immunoglobulin superfamily, member 3	1041372	2	2	2	1	1	0	0	1	0	0	0.521	0.775	0.353	0.0724	0.168	0.300	1.000
3914	PAK1	p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)	488574	1	1	1	0	0	0	0	0	1	0	0.300	1.000	NaN	NaN	NaN	0.300	1.000
3915	USP2	ubiquitin specific peptidase 2	502344	1	1	1	0	0	0	0	0	1	0	0.300	1.000	NaN	NaN	NaN	0.300	1.000
3916	SLC9A6	solute carrier family 9 (sodium/hydrogen exchanger), member 6	599863	1	1	1	0	0	0	0	0	1	0	0.300	0.677	NaN	NaN	NaN	0.300	1.000
3917	ZNF202	zinc finger protein 202	555320	2	2	2	0	0	0	1	1	0	0	0.103	0.568	0.427	0.360	0.850	0.300	1.000
3918	LRAT	lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)	198368	1	1	1	0	1	0	0	0	0	0	0.301	0.625	NaN	NaN	NaN	0.301	1.000
3919	TBR1	T-box, brain, 1	447189	1	1	1	0	0	0	1	0	0	0	0.301	0.772	NaN	NaN	NaN	0.301	1.000
3920	ELAVL4	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)	353017	1	1	1	0	1	0	0	0	0	0	0.301	0.654	NaN	NaN	NaN	0.301	1.000
3921	ZNF619	zinc finger protein 619	487635	1	1	1	0	0	1	0	0	0	0	0.301	0.632	NaN	NaN	NaN	0.301	1.000
3922	SLC6A5	solute carrier family 6 (neurotransmitter transporter, glycine), member 5	644786	2	2	2	0	0	0	0	1	1	0	0.150	0.475	0.293	0.519	0.583	0.301	1.000
3923	UBASH3A	ubiquitin associated and SH3 domain containing, A	543308	1	1	1	1	0	1	0	0	0	0	0.301	0.830	NaN	NaN	NaN	0.301	1.000
3924	CCDC27	coiled-coil domain containing 27	497944	1	1	1	1	0	0	0	0	1	0	0.301	0.831	NaN	NaN	NaN	0.301	1.000
3925	NAMPT	nicotinamide phosphoribosyltransferase	418969	1	1	1	0	0	0	1	0	0	0	0.302	0.641	NaN	NaN	NaN	0.302	1.000
3926	ECM2	extracellular matrix protein 2, female organ and adipocyte specific	604461	1	1	1	0	0	0	1	0	0	0	0.302	0.652	NaN	NaN	NaN	0.302	1.000
3927	AIM1	absent in melanoma 1	1395832	4	4	4	1	1	0	1	1	1	0	0.140	0.552	0.522	0.246	0.629	0.302	1.000
3928	FLI1	Friend leukemia virus integration 1	378475	1	1	1	0	0	0	0	1	0	0	0.303	0.844	NaN	NaN	NaN	0.303	1.000
3929	SERPINA9	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9	375822	1	1	1	1	0	0	1	0	0	0	0.303	0.909	NaN	NaN	NaN	0.303	1.000
3930	SIRPA	signal-regulatory protein alpha	409470	2	2	2	0	0	0	1	1	0	0	0.111	0.626	0.885	0.480	0.798	0.303	1.000
3931	ARHGAP36	Rho GTPase activating protein 36	477316	1	1	1	0	0	1	0	0	0	0	0.303	0.601	NaN	NaN	NaN	0.303	1.000
3932	NXN	nucleoredoxin	294000	1	1	1	1	1	0	0	0	0	0	0.303	0.869	NaN	NaN	NaN	0.303	1.000
3933	EIF3B	eukaryotic translation initiation factor 3, subunit B	554880	1	1	1	0	0	0	0	1	0	0	0.303	0.858	NaN	NaN	NaN	0.303	1.000
3934	SLFN5	schlafen family member 5	761836	1	1	1	0	0	0	1	0	0	0	0.303	0.673	NaN	NaN	NaN	0.303	1.000
3935	AK5	adenylate kinase 5	476309	1	1	1	0	0	1	0	0	0	0	0.303	0.662	NaN	NaN	NaN	0.303	1.000
3936	ITGB7	integrin, beta 7	635572	3	3	3	0	3	0	0	0	0	0	0.0887	0.383	0.412	0.899	1.000	0.304	1.000
